Epoch	ERROR1	TIME	
00000311	47.479212	26:15:07:49
00000312	47.247759	26:15:07:49
00000313	47.012723	26:15:07:49
00000314	46.773436	26:15:07:49
00000315	46.528952	26:15:07:49
00000316	46.277972	26:15:07:49
00000317	46.018965	26:15:07:49
00000318	45.750475	26:15:07:49
00000319	45.471261	26:15:07:49
00000320	45.181671	26:15:07:49
00000321	44.883307	26:15:07:49
00000322	44.578929	26:15:07:49
00000323	44.272864	26:15:07:49
00000324	43.970295	26:15:07:49
00000325	43.675756	26:15:07:49
00000326	43.393224	26:15:07:49
00000327	43.124965	26:15:07:49
00000328	42.872464	26:15:07:49
00000329	42.635701	26:15:07:49
00000330	42.414153	26:15:07:49
00000331	42.205401	26:15:07:49
00000332	42.007484	26:15:07:49
00000333	41.818814	26:15:07:49
00000334	41.638095	26:15:07:49
00000335	41.464280	26:15:07:49
00000336	41.297201	26:15:07:49
00000337	41.137022	26:15:07:49
00000338	40.983925	26:15:07:49
00000339	40.837743	26:15:07:49
00000340	40.698108	26:15:07:49
00000341	40.564310	26:15:07:49
00000342	40.435683	26:15:07:49
00000343	40.311257	26:15:07:49
00000344	40.189418	26:15:07:49
00000345	40.069265	26:15:07:49
00000346	39.949791	26:15:07:49
00000347	39.829988	26:15:07:49
00000348	39.709420	26:15:07:49
00000349	39.587550	26:15:07:49
00000350	39.463893	26:15:07:49
00000351	39.338594	26:15:07:49
00000352	39.212092	26:15:07:49
00000353	39.084802	26:15:07:49
00000354	38.957168	26:15:07:49
00000355	38.828873	26:15:07:49
00000356	38.699689	26:15:07:49
00000357	38.568997	26:15:07:49
00000358	38.436518	26:15:07:49
00000359	38.302148	26:15:07:49
00000360	38.165769	26:15:07:49
00000361	38.027307	26:15:07:49
00000362	37.887377	26:15:07:49
00000363	37.746576	26:15:07:49
00000364	37.605269	26:15:07:49
00000365	37.463298	26:15:07:49
00000366	37.319936	26:15:07:49
00000367	37.174868	26:15:07:49
00000368	37.027555	26:15:07:49
00000369	36.878143	26:15:07:49
00000370	36.727280	26:15:07:49
00000371	36.575540	26:15:07:49
00000372	36.424055	26:15:07:49
00000373	36.273989	26:15:07:49
00000374	36.126543	26:15:07:49
00000375	35.982485	26:15:07:49
00000376	35.842164	26:15:07:49
00000377	35.705292	26:15:07:49
00000378	35.571074	26:15:07:49
00000379	35.438310	26:15:07:49
00000380	35.305785	26:15:07:49
00000381	35.171892	26:15:07:49
00000382	35.035756	26:15:07:49
00000383	34.896663	26:15:07:49
00000384	34.754442	26:15:07:49
00000385	34.609173	26:15:07:49
00000386	34.461215	26:15:07:49
00000387	34.310745	26:15:07:49
00000388	34.157744	26:15:07:49
00000389	34.001544	26:15:07:49
00000390	33.841710	26:15:07:49
00000391	33.678285	26:15:07:49
00000392	33.511921	26:15:07:49
00000393	33.343471	26:15:07:49
00000394	33.174100	26:15:07:49
00000395	33.005571	26:15:07:49
00000396	32.839813	26:15:07:49
00000397	32.678943	26:15:07:49
00000398	32.524772	26:15:07:49
00000399	32.378925	26:15:07:49
00000400	32.242318	26:15:07:49
00000401	32.115263	26:15:07:49
00000402	31.997190	26:15:07:49
00000403	31.887509	26:15:07:49
